StationID,average,Time
256,0.0266,2020-06-21 00:00:54
256,0.0267,2020-06-21 00:01:53
256,0.0271,2020-06-21 00:02:54
256,0.0268,2020-06-21 00:03:54
256,0.0268,2020-06-21 00:04:54
256,0.0267,2020-06-21 00:05:54
256,0.0268,2020-06-21 00:06:54
256,0.0268,2020-06-21 00:07:54
256,0.0269,2020-06-21 00:08:54
256,0.0271,2020-06-21 00:09:54
256,0.0269,2020-06-21 00:10:54
256,0.0266,2020-06-21 00:11:54
256,0.0268,2020-06-21 00:12:54
256,0.0269,2020-06-21 00:13:54
256,0.0267,2020-06-21 00:14:54
256,0.0263,2020-06-21 00:15:54
256,0.0266,2020-06-21 00:16:54
256,0.0268,2020-06-21 00:17:54
256,0.0268,2020-06-21 00:18:54
256,0.0263,2020-06-21 00:19:54
256,0.0265,2020-06-21 00:20:54
256,0.0263,2020-06-21 00:21:54
256,0.0264,2020-06-21 00:22:54
256,0.0265,2020-06-21 00:23:54
256,0.0264,2020-06-21 00:24:54
256,0.0265,2020-06-21 00:25:54
256,0.0268,2020-06-21 00:26:54
256,0.0268,2020-06-21 00:27:54
256,0.0267,2020-06-21 00:28:54
256,0.0266,2020-06-21 00:29:54
256,0.0267,2020-06-21 00:30:54
256,0.0266,2020-06-21 00:31:54
256,0.0267,2020-06-21 00:32:54
256,0.0264,2020-06-21 00:33:54
256,0.0263,2020-06-21 00:34:54
256,0.0263,2020-06-21 00:35:55
256,0.0265,2020-06-21 00:36:54
256,0.0267,2020-06-21 00:37:54
256,0.0266,2020-06-21 00:38:54
256,0.0266,2020-06-21 00:39:55
256,0.0268,2020-06-21 00:40:55
256,0.0269,2020-06-21 00:41:55
256,0.0267,2020-06-21 00:42:55
256,0.0268,2020-06-21 00:43:55
256,0.0268,2020-06-21 00:44:55
256,0.0267,2020-06-21 00:45:55
256,0.0266,2020-06-21 00:46:55
256,0.0267,2020-06-21 00:47:55
256,0.0267,2020-06-21 00:48:55
256,0.0266,2020-06-21 00:49:55
256,0.0267,2020-06-21 00:50:55
256,0.027,2020-06-21 00:51:55
256,0.027,2020-06-21 00:52:55
256,0.0269,2020-06-21 00:53:55
256,0.0269,2020-06-21 00:54:55
256,0.0268,2020-06-21 00:55:55
256,0.027,2020-06-21 00:56:55
256,0.0269,2020-06-21 00:57:55
256,0.0269,2020-06-21 00:58:55
256,0.0267,2020-06-21 00:59:55
256,0.0268,2020-06-21 01:00:55
256,0.0268,2020-06-21 01:01:55
256,0.0268,2020-06-21 01:02:55
256,0.027,2020-06-21 01:03:55
256,0.027,2020-06-21 01:04:55
256,0.0268,2020-06-21 01:05:55
256,0.0264,2020-06-21 01:06:56
256,0.0267,2020-06-21 01:07:56
256,0.0268,2020-06-21 01:08:56
256,0.027,2020-06-21 01:09:56
256,0.027,2020-06-21 01:10:56
256,0.0268,2020-06-21 01:11:56
256,0.0268,2020-06-21 01:12:56
256,0.027,2020-06-21 01:13:56
256,0.0268,2020-06-21 01:14:56
256,0.0267,2020-06-21 01:15:56
256,0.0267,2020-06-21 01:16:56
256,0.0267,2020-06-21 01:17:56
256,0.0269,2020-06-21 01:18:56
256,0.0267,2020-06-21 01:19:56
256,0.0265,2020-06-21 01:20:56
256,0.0266,2020-06-21 01:21:56
256,0.0268,2020-06-21 01:22:56
256,0.0267,2020-06-21 01:23:56
256,0.0267,2020-06-21 01:24:56
256,0.0268,2020-06-21 01:25:56
256,0.0269,2020-06-21 01:26:56
256,0.027,2020-06-21 01:27:56
256,0.0268,2020-06-21 01:28:56
256,0.0267,2020-06-21 01:29:56
256,0.0268,2020-06-21 01:30:56
256,0.0266,2020-06-21 01:31:56
256,0.0269,2020-06-21 01:32:56
256,0.0267,2020-06-21 01:33:56
256,0.0269,2020-06-21 01:34:56
256,0.0271,2020-06-21 01:35:56
256,0.0268,2020-06-21 01:36:56
256,0.027,2020-06-21 01:37:56
256,0.027,2020-06-21 01:38:57
256,0.0268,2020-06-21 01:39:56
256,0.0268,2020-06-21 01:40:57
256,0.0268,2020-06-21 01:41:56
256,0.0269,2020-06-21 01:42:56
256,0.027,2020-06-21 01:43:56
