StationID,Time,average,Day
226,00:00:24,0.0578,1
226,00:01:24,0.0622,1
226,00:02:24,0.0606,1
226,00:03:24,0.0543,1
226,00:04:24,0.0498,1
226,00:05:24,0.0556,1
226,00:06:24,0.0504,1
226,00:07:24,0.0487,1
226,00:08:24,0.0478,1
226,00:09:24,0.0473,1
226,00:10:24,0.0490,1
226,00:11:24,0.0512,1
226,00:12:24,0.0489,1
226,00:13:24,0.0416,1
226,00:14:24,0.0421,1
226,00:15:24,0.0429,1
226,00:16:24,0.0428,1
226,00:17:24,0.0414,1
226,00:18:24,0.0414,1
226,00:19:24,0.0436,1
226,00:20:24,0.0430,1
226,00:21:24,0.0416,1
226,00:22:24,0.0408,1
226,00:23:24,0.0405,1
226,00:24:24,0.0393,1
226,00:25:24,0.0350,1
226,00:26:24,0.0353,1
226,00:27:24,0.0348,1
226,00:28:24,0.0369,1
226,00:29:24,0.0385,1
226,00:30:24,0.0395,1
226,00:31:24,0.0441,1
226,00:32:24,0.0456,1
226,00:33:25,0.0460,1
226,00:34:25,0.0457,1
226,00:35:25,0.0462,1
226,00:36:25,0.0433,1
226,00:37:25,0.0369,1
226,00:38:25,0.0384,1
226,00:39:25,0.0374,1
226,00:40:25,0.0374,1
226,00:41:25,0.0372,1
226,00:42:25,0.0363,1
226,00:43:25,0.0371,1
226,00:44:25,0.0365,1
226,00:45:25,0.0358,1
226,00:46:25,0.0355,1
226,00:47:25,0.0356,1
226,00:48:25,0.0365,1
226,00:49:25,0.0357,1
226,00:50:25,0.0364,1
226,00:51:25,0.0351,1
226,00:52:25,0.0422,1
226,00:53:25,0.0431,1
226,00:54:25,0.0452,1
226,00:55:25,0.0456,1
226,00:56:25,0.0448,1
226,00:57:25,0.0450,1
226,00:58:25,0.0455,1
226,00:59:25,0.0453,1
226,01:00:25,0.0391,1
226,01:01:25,0.0352,1
226,01:02:25,0.0330,1
226,01:03:25,0.0345,1
226,01:04:25,0.0355,1
226,01:05:25,0.0462,1
226,01:06:25,0.0551,1
226,01:07:25,0.0541,1
226,01:08:25,0.0543,1
226,01:09:26,0.0549,1
226,01:10:26,0.0554,1
226,01:11:26,0.0544,1
226,01:12:26,0.0529,1
226,01:13:26,0.0534,1
226,01:14:26,0.0543,1
226,01:15:26,0.0582,1
226,01:16:26,0.0615,1
226,01:17:26,0.0557,1
226,01:18:26,0.0550,1
226,01:19:26,0.0548,1
226,01:20:26,0.0560,1
226,01:21:26,0.0554,1
226,01:22:26,0.0555,1
226,01:23:26,0.0562,1
226,01:24:26,0.0532,1
226,01:25:26,0.0522,1
226,01:26:26,0.0523,1
226,01:27:26,0.0519,1
226,01:28:26,0.0534,1
226,01:29:26,0.0538,1
226,01:30:26,0.0537,1
226,01:31:26,0.0536,1
226,01:32:26,0.0536,1
226,01:33:26,0.0543,1
226,01:34:26,0.0543,1
226,01:35:26,0.0540,1
226,01:36:26,0.0549,1
226,01:37:26,0.0537,1
226,01:38:26,0.0541,1
226,01:39:26,0.0533,1
226,01:40:26,0.0567,1
226,01:41:26,0.0569,1
226,01:42:26,0.0567,1
226,01:43:27,0.0562,1
226,01:44:27,0.0571,1
226,01:45:27,0.0571,1
226,01:46:25,0.0563,1
226,01:47:25,0.0558,1
226,01:48:26,0.0537,1
226,01:49:26,0.0526,1
226,01:50:26,0.0530,1
226,01:51:26,0.0523,1
226,01:52:26,0.0526,1
226,01:53:26,0.0524,1
226,01:54:26,0.0516,1
226,01:55:26,0.0518,1
226,01:56:26,0.0511,1
226,01:57:26,0.0510,1
226,01:58:26,0.0512,1
226,01:59:26,0.0511,1
226,02:00:26,0.0511,1
226,02:01:26,0.0511,1
226,02:02:26,0.0520,1
226,02:03:26,0.0535,1
226,02:04:26,0.0578,1
226,02:05:26,0.0573,1
226,02:06:26,0.0581,1
226,02:07:26,0.0586,1
226,02:08:26,0.0579,1
226,02:09:26,0.0574,1
226,02:10:26,0.0576,1
226,02:11:26,0.0563,1
226,02:12:26,0.0527,1
226,02:13:26,0.0529,1
226,02:14:26,0.0532,1
226,02:15:26,0.0532,1
226,02:16:26,0.0537,1
226,02:17:26,0.0538,1
226,02:18:26,0.0529,1
226,02:19:26,0.0528,1
