StationID,average,Time
174,0.0092,2020-07-05 00:00:39
174,0.012,2020-07-05 00:01:39
174,0.0093,2020-07-05 00:02:39
174,0.0111,2020-07-05 00:03:39
174,0.0099,2020-07-05 00:04:39
174,0.0095,2020-07-05 00:05:39
174,0.0102,2020-07-05 00:06:39
174,0.0105,2020-07-05 00:07:39
174,0.0092,2020-07-05 00:08:40
174,0.0096,2020-07-05 00:09:40
174,0.0114,2020-07-05 00:10:40
174,0.0097,2020-07-05 00:11:40
174,0.0108,2020-07-05 00:12:40
174,0.0121,2020-07-05 00:13:40
174,0.0096,2020-07-05 00:14:40
174,0.0111,2020-07-05 00:15:40
174,0.0107,2020-07-05 00:16:40
174,0.0094,2020-07-05 00:17:40
174,0.0089,2020-07-05 00:18:40
174,0.0092,2020-07-05 00:19:40
174,0.0104,2020-07-05 00:20:40
174,0.0102,2020-07-05 00:21:40
174,0.011,2020-07-05 00:22:40
174,0.0105,2020-07-05 00:23:40
174,0.01,2020-07-05 00:24:40
174,0.01,2020-07-05 00:25:40
174,0.0105,2020-07-05 00:26:40
174,0.0101,2020-07-05 00:27:40
174,0.0097,2020-07-05 00:28:40
174,0.0102,2020-07-05 00:29:40
174,0.0102,2020-07-05 00:30:40
174,0.0087,2020-07-05 00:31:40
174,0.0094,2020-07-05 00:32:40
174,0.01,2020-07-05 00:33:40
174,0.0101,2020-07-05 00:34:40
174,0.0106,2020-07-05 00:35:40
174,0.0101,2020-07-05 00:36:41
174,0.0096,2020-07-05 00:37:40
174,0.01,2020-07-05 00:38:40
174,0.0097,2020-07-05 00:39:41
174,0.0116,2020-07-05 00:40:40
174,0.0101,2020-07-05 00:41:40
174,0.009,2020-07-05 00:42:40
174,0.0116,2020-07-05 00:43:41
174,0.0093,2020-07-05 00:44:41
174,0.0127,2020-07-05 00:45:41
174,0.0097,2020-07-05 00:46:41
174,0.0096,2020-07-05 00:47:41
174,0.0106,2020-07-05 00:48:41
174,0.0119,2020-07-05 00:49:41
174,0.0124,2020-07-05 00:50:41
174,0.0082,2020-07-05 00:51:41
174,0.0124,2020-07-05 00:52:41
174,0.0122,2020-07-05 00:53:41
174,0.0105,2020-07-05 00:54:41
174,0.0097,2020-07-05 00:55:41
174,0.0106,2020-07-05 00:56:41
174,0.0127,2020-07-05 00:57:41
174,0.0098,2020-07-05 00:58:41
174,0.0108,2020-07-05 00:59:41
174,0.0106,2020-07-05 01:00:41
174,0.0112,2020-07-05 01:01:41
174,0.0123,2020-07-05 01:02:41
174,0.0102,2020-07-05 01:03:41
174,0.0096,2020-07-05 01:04:41
174,0.0115,2020-07-05 01:05:41
174,0.0088,2020-07-05 01:06:41
174,0.0101,2020-07-05 01:07:40
174,0.0083,2020-07-05 01:08:40
174,0.0104,2020-07-05 01:09:41
174,0.0104,2020-07-05 01:10:40
174,0.0108,2020-07-05 01:11:41
174,0.0086,2020-07-05 01:12:40
174,0.0108,2020-07-05 01:13:41
174,0.0073,2020-07-05 01:14:41
174,0.0126,2020-07-05 01:15:41
174,0.0092,2020-07-05 01:16:41
174,0.0099,2020-07-05 01:17:41
174,0.0107,2020-07-05 01:18:41
174,0.0096,2020-07-05 01:19:41
174,0.0096,2020-07-05 01:20:41
174,0.0105,2020-07-05 01:21:41
174,0.0093,2020-07-05 01:22:41
174,0.009,2020-07-05 01:23:41
174,0.0114,2020-07-05 01:24:41
174,0.0095,2020-07-05 01:25:41
174,0.0096,2020-07-05 01:26:41
174,0.0094,2020-07-05 01:27:41
174,0.0105,2020-07-05 01:28:41
174,0.0103,2020-07-05 01:29:41
174,0.0102,2020-07-05 01:30:41
174,0.0096,2020-07-05 01:31:41
174,0.0117,2020-07-05 01:32:41
174,0.0103,2020-07-05 01:33:41
174,0.0103,2020-07-05 01:34:41
174,0.0104,2020-07-05 01:35:41
174,0.0097,2020-07-05 01:36:41
174,0.0103,2020-07-05 01:37:41
174,0.0099,2020-07-05 01:38:41
174,0.0098,2020-07-05 01:39:41
174,0.0109,2020-07-05 01:40:41
174,0.0106,2020-07-05 01:41:41
174,0.0115,2020-07-05 01:42:41
174,0.0089,2020-07-05 01:43:41
174,0.0118,2020-07-05 01:44:42
174,0.0103,2020-07-05 01:45:41
174,0.0091,2020-07-05 01:46:41
174,0.0097,2020-07-05 01:47:42
174,0.0123,2020-07-05 01:48:42
174,0.0095,2020-07-05 01:49:42
174,0.0092,2020-07-05 01:50:42
174,0.0092,2020-07-05 01:51:42
174,0.0127,2020-07-05 01:52:42
174,0.0116,2020-07-05 01:53:42
174,0.0104,2020-07-05 01:54:42
174,0.012,2020-07-05 01:55:42
174,0.0111,2020-07-05 01:56:42
174,0.0096,2020-07-05 01:57:42
174,0.0107,2020-07-05 01:58:42
174,0.0113,2020-07-05 01:59:42
174,0.0091,2020-07-05 02:00:42
174,0.0104,2020-07-05 02:01:42
174,0.0096,2020-07-05 02:02:42
174,0.0095,2020-07-05 02:03:42
174,0.0104,2020-07-05 02:04:42
174,0.0115,2020-07-05 02:05:42
174,0.0094,2020-07-05 02:06:42
174,0.0096,2020-07-05 02:07:42
174,0.0097,2020-07-05 02:08:42
174,0.0073,2020-07-05 02:09:42
174,0.0098,2020-07-05 02:10:42
174,0.0104,2020-07-05 02:11:42
174,0.0106,2020-07-05 02:12:43
174,0.0109,2020-07-05 02:13:42
174,0.0103,2020-07-05 02:14:42
174,0.0083,2020-07-05 02:15:43
174,0.0091,2020-07-05 02:16:43
